"会場","開催日","箱番号","番号","レーン名","品名","ブランド名","枠","脇石","重量","品番","ランク","スタート価格","予想時刻","オークション結果","落札価格"
"JBA金沢","2024/04/08","203","6","---","時計","ROLEX","SS","AT","","116520 ﾗﾝﾀﾞﾑ番 黒 保(2015.9) 別展 未使用 取扱注意 ","","0","","落札","2900000"
"JBA金沢","2024/04/08","203","7","---","時計","ROLEX","YG/SS","AT","","116503NG ﾗﾝﾀﾞﾑ番 ﾎﾜｲﾄｼｪﾙ 保(2018.1) 別展","","0","","落札","3200000"
"JBA金沢","2024/04/08","203","8","---","時計","ROLEX","YG/SS","AT","","116503 ﾗﾝﾀﾞﾑ番 黒 保(2022.8) 別展","","0","","落札","2700000"
"JBA金沢","2024/04/08","203","9","---","時計","ROLEX","YG","AT","","116508 ﾗﾝﾀﾞﾑ番 黒 保(2018.11) 別展","","0","","落札","5900000"
"JBA金沢","2024/04/08","203","10","---","時計","ROLEX","PG/ﾗﾊﾞｰ","AT","","116655 ﾗﾝﾀﾞﾑ番 黒 日ﾛﾚ(2019.7) 別展","","0","","落札","3300000"
"JBA金沢","2024/04/08","204","1","---","時計","ROLEX","WG/SS","AT","","179171G ﾗﾝﾀﾞﾑ番 ｼﾙﾊﾞｰ","","0","","落札","750000"
"JBA金沢","2024/04/08","204","2","---","時計","ROLEX","PT/SS","AT","","169622 D番 ｼﾙﾊﾞｰ","","0","","落札","540000"
"JBA金沢","2024/04/08","204","3","---","時計","ROLEX","YG","AT","","69178G L番 ｼﾙﾊﾞｰ 保","","0","","落札","940000"
"JBA金沢","2024/04/08","204","4","---","時計","ROLEX","SS","AT","","277200 ﾗﾝﾀﾞﾑ番 黒","","0","","落札","560000"
"JBA金沢","2024/04/08","204","6","---","時計","ROLEX","SS","AT","","16610 P番","","0","","落札","850000"
"JBA金沢","2024/04/08","204","9","---","時計","ROLEX","SS","AT","","116400 V番 白 保(2010.3)","","0","","落札","1160000"
"JBA金沢","2024/04/08","204","10","---","時計","ROLEX","PG/SS","AT","","116261 F番 黒","","0","","落札","1120000"
"JBA金沢","2024/04/08","206","1","---","時計","ROLEX","SS","AT","","114270 Y番 保","","0","","落札","656000"
"JBA金沢","2024/04/08","206","2","---","時計","ROLEX","SS","AT","","114270 M番 保(2009.1)","","0","","落札","710000"
"JBA金沢","2024/04/08","206","3","---","時計","ROLEX","YG/SS","AT","","68273 R番 ｼｬﾝﾊﾟﾝ 保 ｻｰﾋﾞｽ保","","0","","落札","710000"
"JBA金沢","2024/04/08","206","4","---","時計","ROLEX","YG/SS","AT","","16233G W番 ｼｬﾝﾊﾟﾝ","","0","","落札","650000"
"JBA金沢","2024/04/08","206","5","---","時計","ROLEX","YG/SS","AT","","16233 W番 ｼｬﾝﾊﾟﾝ 現状 不動","","0","","落札","542000"
"JBA金沢","2024/04/08","206","6","---","時計","ROLEX","YG/SS","AT","","69173G T番 ﾌﾞﾙｸﾞﾗ","","0","","落札","600000"
"JBA金沢","2024/04/08","206","7","---","時計","ROLEX","YG/SS","AT","","16013 R番 ｼｬﾝﾊﾟﾝ 保","","0","","落札","540000"
"JBA金沢","2024/04/08","206","8","---","時計","ROLEX","YG/SS","AT","","69173 T番 白 保","","0","","落札","420000"
"JBA金沢","2024/04/08","206","9","---","時計","ROLEX","YG/SS","AT","","69173 X番 ｼｬﾝﾊﾟﾝ","","0","","落札","400000"
"JBA金沢","2024/04/08","206","10","---","時計","ROLEX","SS","AT","","79160 F番 黒 保","","0","","落札","360000"
"JBA金沢","2024/04/08","207","1","---","時計","ROLEX","YG/SS","AT","","69173 R番 ｼｬﾝﾊﾟﾝ 保","","0","","落札","420000"
"JBA金沢","2024/04/08","207","2","---","時計","ROLEX","YG/SS","AT","","69173 92番 ｼｬﾝﾊﾟﾝ","","0","","落札","370000"
"JBA金沢","2024/04/08","208","1","---","時計","ROLEX","SS","AT","","126660 ﾗﾝﾀﾞﾑ番 Dﾌﾞﾙｰ 日ﾛﾚ(2019.12)","","0","","落札","1680000"
"JBA金沢","2024/04/08","208","2","---","時計","ROLEX","PG/ﾗﾊﾞｰ","AT","","116515LN ﾗﾝﾀﾞﾑ番 ｱｲﾎﾞﾘｰ 保(2021.2) 別展","","0","","落札","4800000"
"JBA金沢","2024/04/08","209","1","---","時計","ROLEX","SS","AT","","279160 ﾋﾟﾝｸﾛｰﾏ 保(2021.11)","","0","","落札","850000"
"JBA金沢","2024/04/08","209","2","---","時計","ROLEX","WG/SS","AT","","279174G ﾗﾝﾀﾞﾑ番 ｽﾀｰD ｼﾙﾊﾞｰ 保(2022.7)","","0","","落札","1420000"
"JBA金沢","2024/04/08","209","3","---","時計","ROLEX","WG/SS","AT","","279384RBR ﾗﾝﾀﾞﾑ番 ｽﾀｰD ｼﾙﾊﾞｰ 保(2023.5)","","0","","落札","2100000"
"JBA金沢","2024/04/08","209","4","---","時計","ROLEX","WG/SS","AT","","178274G ﾗﾝﾀﾞﾑ番 ｼﾙﾊﾞｰ 日ﾛﾚ(2020.3)","","0","","落札","1150000"
"JBA金沢","2024/04/08","209","5","---","時計","ROLEX","SS","AT","","216570 ﾗﾝﾀﾞﾑ番 黒 日ﾛﾚ(2014.11)","","0","","落札","1110000"
